id_tienda,sucursal,store_name,marca,producto,precio,contenido,busqueda,latitud,longitud,address,fecha_consulta
4413,La Comer Olivar,La Comer,canoil,aceite vegetal puro de canola,47.0,botella 946 ml,aceite,19.334805,-99.227039,"av de las torres 446, san jose del olivar, 1770 alvaro obregon, mexico, distrito federal",2023-05-15 17:18:44
4413,La Comer Olivar,La Comer,1.2.3.,aceite vegetal comestible,49.5,botella 1 l,aceite,19.334805,-99.227039,"av de las torres 446, san jose del olivar, 1770 alvaro obregon, mexico, distrito federal",2023-05-15 17:18:44
4413,La Comer Olivar,La Comer,gran tradicion,aceite vegetal,39.5,botella 900 ml,aceite,19.334805,-99.227039,"av de las torres 446, san jose del olivar, 1770 alvaro obregon, mexico, distrito federal",2023-05-15 17:18:44
4413,La Comer Olivar,La Comer,cristal,aceite vegetal,49.9,botella 1 l,aceite,19.334805,-99.227039,"av de las torres 446, san jose del olivar, 1770 alvaro obregon, mexico, distrito federal",2023-05-15 17:18:44
46322,Chedraui Selecto Parque Duraznos,Chedraui,1.2.3.,aceite vegetal comestible,51.9,botella 1 l,aceite,19.40329,-99.242732,"bosque de duraznos 39 bosque de las lomas miguel hidalgo 11700 ciudad de méxico , , , 11700",2023-05-15 17:18:44
46322,Chedraui Selecto Parque Duraznos,Chedraui,sabrosano,aceite vegetal comestible sabor mantequilla,43.5,botella 850 ml,aceite,19.40329,-99.242732,"bosque de duraznos 39 bosque de las lomas miguel hidalgo 11700 ciudad de méxico , , , 11700",2023-05-15 17:18:44
46322,Chedraui Selecto Parque Duraznos,Chedraui,sabrosano,aceite vegetal comestible +30,46.0,850 ml,aceite,19.40329,-99.242732,"bosque de duraznos 39 bosque de las lomas miguel hidalgo 11700 ciudad de méxico , , , 11700",2023-05-15 17:18:44
10362,Tacubaya,Soriana,canoil,aceite vegetal puro de canola,49.9,botella 946 ml,aceite,19.408929,-99.184396,gral jose moran 3,2023-05-15 17:18:44
10362,Tacubaya,Soriana,1.2.3.,aceite vegetal comestible,56.5,botella 1 l,aceite,19.408929,-99.184396,gral jose moran 3,2023-05-15 17:18:44
10362,Tacubaya,Soriana,sabrosano,aceite vegetal comestible sabor mantequilla,48.9,botella 850 ml,aceite,19.408929,-99.184396,gral jose moran 3,2023-05-15 17:18:44
10362,Tacubaya,Soriana,gran tradicion,aceite vegetal,39.5,botella 900 ml,aceite,19.408929,-99.184396,gral jose moran 3,2023-05-15 17:18:44
10362,Tacubaya,Soriana,precíssimo,aceite vegetal,39.0,botella 850 ml,aceite,19.408929,-99.184396,gral jose moran 3,2023-05-15 17:18:44
4412,La Comer Lomas Anahuac,La Comer,1.2.3.,aceite vegetal comestible,52.0,botella 1 l,aceite,19.399494,-99.276637,"av magnocentro lt 1 mz 2 , san fernando huixquilucan, 52796 huixquilucan, huixquilucan, estado de mexico",2023-05-15 17:18:44
