id_tienda,sucursal,store_name,marca,producto,precio,contenido,busqueda,latitud,longitud,address
26722,Chedraui Tepozán,Chedraui,,tortillas blancas de maíz,12.4,"a granel, precio por kg",tortilla+de+maíz,19.362166,-98.988547,Av. Tepozanes No. 3 Entre Tabachines Y Siervo De La Nación
1445,Pedregal,Selecto Chedraui,1.2.3.,aceite vegetal comestible,52.0,botella 1 l,aceite,19.335124,-99.198477,Av. San Jerónimo 236
1445,Pedregal,Selecto Chedraui,Canoil,aceite vegetal puro de canola,47.0,botella 946 ml,aceite,19.335124,-99.198477,Av. San Jerónimo 236
1445,Pedregal,Selecto Chedraui,Sabrosano,aceite vegetal comestible sabor mantequilla,43.5,botella 850 ml,aceite,19.335124,-99.198477,Av. San Jerónimo 236
4414,La Comer Coyoacán,La Comer,1.2.3.,aceite vegetal comestible,53.7,botella 1 l,aceite,19.345009,-99.171911,"MIGUEL ANGEL DE QUEVEDO 443, ROMERO DE TERREROS, 4310 COYOACAN, MEXICO, DISTRITO FEDERAL"
4414,La Comer Coyoacán,La Comer,Canoil,aceite vegetal puro de canola,47.5,botella 946 ml,aceite,19.345009,-99.171911,"MIGUEL ANGEL DE QUEVEDO 443, ROMERO DE TERREROS, 4310 COYOACAN, MEXICO, DISTRITO FEDERAL"
4414,La Comer Coyoacán,La Comer,Gran Tradicion,aceite vegetal,39.5,botella 900 ml,aceite,19.345009,-99.171911,"MIGUEL ANGEL DE QUEVEDO 443, ROMERO DE TERREROS, 4310 COYOACAN, MEXICO, DISTRITO FEDERAL"
4414,La Comer Coyoacán,La Comer,Sabrosano,aceite vegetal comestible +30,46.0,850 ml,aceite,19.345009,-99.171911,"MIGUEL ANGEL DE QUEVEDO 443, ROMERO DE TERREROS, 4310 COYOACAN, MEXICO, DISTRITO FEDERAL"
10002,San Jeronimo,Soriana,1.2.3.,aceite vegetal comestible,51.9,botella 1 l,aceite,19.330351,-99.208839,"Anillo Perif. 630, Jardines del Pedregal, Álvaro Obregón, 01900 Ciudad de México, CDMX"
10002,San Jeronimo,Soriana,Sabrosano,aceite vegetal comestible sabor mantequilla,44.9,botella 850 ml,aceite,19.330351,-99.208839,"Anillo Perif. 630, Jardines del Pedregal, Álvaro Obregón, 01900 Ciudad de México, CDMX"
10002,San Jeronimo,Soriana,Gran Tradicion,aceite vegetal,39.5,botella 900 ml,aceite,19.330351,-99.208839,"Anillo Perif. 630, Jardines del Pedregal, Álvaro Obregón, 01900 Ciudad de México, CDMX"
4417,La Comer Insurgentes,La Comer,1.2.3.,aceite vegetal comestible,53.7,botella 1 l,aceite,19.366487,-99.182073,"PERPETUA 35, SAN JOSE INSURGENTES, 3900 BENITO JUAREZ, MEXICO, DISTRITO FEDERAL"
4417,La Comer Insurgentes,La Comer,Gran Tradicion,aceite vegetal,39.5,botella 900 ml,aceite,19.366487,-99.182073,"PERPETUA 35, SAN JOSE INSURGENTES, 3900 BENITO JUAREZ, MEXICO, DISTRITO FEDERAL"
10353,Mixcoac Revolucion,Soriana,1.2.3.,aceite vegetal comestible,51.9,botella 1 l,aceite,19.379341,-99.186723,Av. Revolucion 780
10353,Mixcoac Revolucion,Soriana,Sabrosano,aceite vegetal comestible sabor mantequilla,44.9,botella 850 ml,aceite,19.379341,-99.186723,Av. Revolucion 780
10353,Mixcoac Revolucion,Soriana,Gran Tradicion,aceite vegetal,39.5,botella 900 ml,aceite,19.379341,-99.186723,Av. Revolucion 780
138,Universidad,Selecto Chedraui,1.2.3.,aceite vegetal comestible,52.0,botella 1 l,aceite,19.3735484,-99.1621604,Av. Universidad 740
138,Universidad,Selecto Chedraui,Canoil,aceite vegetal puro de canola,47.0,botella 946 ml,aceite,19.3735484,-99.1621604,Av. Universidad 740
138,Universidad,Selecto Chedraui,Sabrosano,aceite vegetal comestible sabor mantequilla,43.5,botella 850 ml,aceite,19.3735484,-99.1621604,Av. Universidad 740
4413,La Comer Olivar,La Comer,1.2.3.,aceite vegetal comestible,49.5,botella 1 l,aceite,19.334805,-99.227039,"AV DE LAS TORRES 446, SAN JOSE DEL OLIVAR, 1770 ALVARO OBREGON, MEXICO, DISTRITO FEDERAL"
4413,La Comer Olivar,La Comer,Cristal,aceite vegetal,49.9,botella 1 l,aceite,19.334805,-99.227039,"AV DE LAS TORRES 446, SAN JOSE DEL OLIVAR, 1770 ALVARO OBREGON, MEXICO, DISTRITO FEDERAL"
4413,La Comer Olivar,La Comer,Gran Tradicion,aceite vegetal,39.5,botella 900 ml,aceite,19.334805,-99.227039,"AV DE LAS TORRES 446, SAN JOSE DEL OLIVAR, 1770 ALVARO OBREGON, MEXICO, DISTRITO FEDERAL"
4413,La Comer Olivar,La Comer,Sabrosano,aceite vegetal comestible +30,45.5,850 ml,aceite,19.334805,-99.227039,"AV DE LAS TORRES 446, SAN JOSE DEL OLIVAR, 1770 ALVARO OBREGON, MEXICO, DISTRITO FEDERAL"
46322,Chedraui Selecto Parque Duraznos,Chedraui,1.2.3.,aceite vegetal comestible,51.5,botella 1 l,aceite,19.40329,-99.242732,"Bosque de Duraznos 39 Bosque de las Lomas Miguel Hidalgo 11700 Ciudad de México , , , 11700"
46322,Chedraui Selecto Parque Duraznos,Chedraui,Sabrosano,aceite vegetal comestible sabor mantequilla,39.55,botella 850 ml,aceite,19.40329,-99.242732,"Bosque de Duraznos 39 Bosque de las Lomas Miguel Hidalgo 11700 Ciudad de México , , , 11700"
46322,Chedraui Selecto Parque Duraznos,Chedraui,Sabrosano,aceite vegetal comestible +30,46.0,850 ml,aceite,19.40329,-99.242732,"Bosque de Duraznos 39 Bosque de las Lomas Miguel Hidalgo 11700 Ciudad de México , , , 11700"
10362,Tacubaya,Soriana,1.2.3.,aceite vegetal comestible,51.9,botella 1 l,aceite,19.408929,-99.184396,Gral Jose Moran 3
10362,Tacubaya,Soriana,Canoil,aceite vegetal puro de canola,49.9,botella 946 ml,aceite,19.408929,-99.184396,Gral Jose Moran 3
10362,Tacubaya,Soriana,Sabrosano,aceite vegetal comestible sabor mantequilla,47.5,botella 850 ml,aceite,19.408929,-99.184396,Gral Jose Moran 3
10362,Tacubaya,Soriana,Gran Tradicion,aceite vegetal,39.5,botella 900 ml,aceite,19.408929,-99.184396,Gral Jose Moran 3
